"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X4.8.20",5325,7089,450580,3848,37600,127153,1542,4703,83204,15478,7237,149596,161660,130821,67548,24205,13185,13500,6582,5916,139709,4257,10384,8672
"X4.9.20",5676,7550,486615,4243,42002,134695,1643,5042,83279,16479,7364,155554,167515,138034,72446,25435,13949,14415,7418,6725,143967,4667,10423,10131
"X4.10.20",5972,7921,522035,4675,47594,143111,1734,5342,83339,17191,7516,160356,174095,145568,82694,26457,14752,15246,8491,7598,147929,5530,10450,11917
"X4.11.20",6293,8315,553556,4926,50661,151957,1971,5724,83415,18189,7633,163900,179384,151415,88802,27345,15413,16331,9257,8446,152635,6005,10480,13584
"X4.12.20",6669,8825,583830,5236,53805,160324,2193,6098,83538,19237,7663,167293,183794,181117,94861,28052,16022,17157,10030,9205,156727,6748,10512,15770
"X4.13.20",7003,9293,610959,5546,58042,168224,2508,6555,83623,20411,7718,169880,187417,186724,100217,28839,16432,18082,10782,10453,159880,7370,10537,18328
"X4.14.20",7405,9854,639718,5748,61168,175900,2827,7123,83729,21526,7799,171600,190382,194119,106324,29655,16880,19067,11687,11487,162867,7645,10564,21102
"X4.15.20",7898,10381,669957,6221,66474,183882,3046,7895,83781,22629,7844,175504,196134,200610,112030,30507,17488,20022,12698,12322,165535,8100,10591,24490
"X4.16.20",8476,10971,704247,6478,71003,192394,3217,8775,83829,24105,7887,178985,204201,215493,117416,31618,18248,21341,13756,13430,169375,8626,10613,27938
"X4.17.20",9148,11734,738816,6967,76554,200758,3440,9170,84186,25453,7955,183149,210283,220157,123749,32664,19044,22294,14995,14352,172877,9787,10635,32008
"X4.18.20",9589,12614,773427,7316,81854,208089,3611,10107,84216,27027,7993,185496,211837,222433,130072,33736,19588,23160,15726,15722,176388,10296,10653,36793
"X4.19.20",10002,13429,801938,7777,86430,216175,3795,11163,84257,28253,8002,187754,219307,229788,136423,34597,20440,23936,16253,17615,179441,10797,10661,42853
"X4.20.20",10488,14128,830244,8235,90840,224964,4047,11775,84272,30138,8012,189885,221504,234420,141508,35285,20985,24561,18122,18539,181699,10797,10674,47121
"X4.21.20",10918,14770,860038,8406,95801,233729,4263,13389,84312,31843,8017,191308,226000,238999,146212,36196,21530,25161,19112,20080,184442,11135,10683,52763
"X4.22.20",11464,15634,891500,8794,101319,241371,4463,14315,84329,33320,8024,193922,230815,238517,151309,37364,22066,25808,20341,21370,187824,11512,10694,57999
"X4.23.20",11931,16622,924088,9221,109086,248815,4678,15872,84347,35085,8143,196708,235822,242660,156853,38500,22673,26469,21886,23077,190483,12368,10708,62773
