"","Country.Region","lat.x","long.x","Node","lat.y","long.y"
"100","Liechtenstein",47.14,9.55,"De",48.1186,10.3319
"101","Lithuania",55.1694,23.8813,"Eu7",53.3575166666667,26.8311666666667
"102","Luxembourg",49.8153,6.1296,"Eu2",47.5414,4.42885
"103","Madagascar",-18.7669,46.8691,"Af2",0.184070521739131,17.2277115652174
"104","Malawi",-13.254308,34.301525,"Af2",0.184070521739131,17.2277115652174
"105","Malaysia",2.5,112.5,"As5",8.72523209090909,109.552548636364
"106","Maldives",3.2028,73.2207,"As3",19.9906666666667,81.4342833333333
"107","Mali",17.570692,-3.996166,"Af2",0.184070521739131,17.2277115652174
"108","Malta",35.9375,14.3754,"Eu1",38.4458,0.716966666666667
"109","Mauritania",21.0079,10.9408,"Af1",28.4458285714286,13.8527615714286
"110","Mauritius",-20.2,57.5,"Af2",0.184070521739131,17.2277115652174
"111","Mexico",23.6345,-102.5528,"Am1",35.1695822222222,-93.5914311111111
"112","Moldova",47.4116,28.3699,"Eu7",53.3575166666667,26.8311666666667
"113","Monaco",43.7333,7.4167,"Eu2",47.5414,4.42885
"114","Mongolia",46.8625,103.8467,"As4",34.4636282828283,112.165260606061
"115","Montenegro",42.5,19.3,"Eu6",42.8648236,20.8278477
"116","Morocco",31.7917,-7.0926,"Af1",28.4458285714286,13.8527615714286
"117","Mozambique",-18.665695,35.529562,"Af2",0.184070521739131,17.2277115652174
"118","MS Zaandam",0,0,"Af2",0.184070521739131,17.2277115652174
"119","Namibia",-22.9576,18.4904,"Af2",0.184070521739131,17.2277115652174
"120","Nepal",28.1667,84.25,"As3",19.9906666666667,81.4342833333333
"121","Netherlands",52.1326,5.2913,"Eu2",47.5414,4.42885
"122","New Zealand",-40.9006,174.886,"Au",-24.231296875,159.534821875
"123","Nicaragua",12.8654,-85.2072,"Am2",15.8596901111111,-72.247411
"124","Niger",17.6078,8.0817,"Af2",0.184070521739131,17.2277115652174
"125","Nigeria",9.082,8.6753,"Af2",0.184070521739131,17.2277115652174
"126","North Macedonia",41.6086,21.7453,"Eu6",42.8648236,20.8278477
"127","Norway",60.472,8.4689,"Eu4",63.14458,3.622
"128","Oman",21,57,"As1",31.9664875,45.4721230555556
"129","Pakistan",30.3753,69.3451,"As3",19.9906666666667,81.4342833333333
"130","Panama",8.538,-80.7821,"Am3",-9.46136428571429,-65.4108071428571
"131","Papua New Guinea",-6.315,143.9555,"Au",-24.231296875,159.534821875
"132","Paraguay",-23.4425,-58.4438,"Am3",-9.46136428571429,-65.4108071428571
"133","Peru",-9.19,-75.0152,"Am3",-9.46136428571429,-65.4108071428571
"134","Philippines",13,122,"As5",8.72523209090909,109.552548636364
"135","Poland",51.9194,19.1451,"Eu5",48.74392,17.76318
"136","Portugal",39.3999,-8.2245,"Eu1",38.4458,0.716966666666667
"137","Qatar",25.3548,51.1839,"As1",31.9664875,45.4721230555556
"138","Romania",45.9432,24.9668,"Eu6",42.8648236,20.8278477
"139","Russia",60,90,"Ru",60,90
"140","Rwanda",-1.9403,29.8739,"Af2",0.184070521739131,17.2277115652174
"141","Saint Kitts and Nevis",17.357822,-62.782998,"Am2",15.8596901111111,-72.247411
"142","Saint Lucia",13.9094,-60.9789,"Am2",15.8596901111111,-72.247411
"143","Saint Vincent and the Grenadines",12.9843,-61.2872,"Am2",15.8596901111111,-72.247411
"144","San Marino",43.9424,12.4578,"It",42.9484333333333,12.3037333333333
"145","Saudi Arabia",24,45,"As1",31.9664875,45.4721230555556
"146","Senegal",14.4974,-14.4524,"Af2",0.184070521739131,17.2277115652174
"147","Serbia",44.0165,21.0059,"Eu6",42.8648236,20.8278477
"148","Seychelles",-4.6796,55.492,"Af2",0.184070521739131,17.2277115652174
"149","Sierra Leone",8.460555,-11.779889,"Af2",0.184070521739131,17.2277115652174
"150","Singapore",1.2833,103.8333,"As5",8.72523209090909,109.552548636364
"151","Slovakia",48.669,19.699,"Eu5",48.74392,17.76318
