"","Af1","Af2","Am1","Am2","Am3","As1","As2","As3","As4","As5","Au","De","Eu1","Eu2","Eu3","Eu4","Eu5","Eu6","Eu7","Hi","It","Ja","Ko","Ru"
"X3.16.20",40,327,30,2,2,4754,0,6,67930,213,23,77,535,16,21,13,17,21,6,13,2753,144,1137,8
"X3.17.20",45,328,30,2,7,5577,0,7,68820,234,23,72,1033,16,58,13,18,32,7,14,2945,144,1407,8
"X3.18.20",45,329,118,2,7,5607,0,7,69777,249,23,129,1086,46,72,18,18,35,9,14,4029,144,1540,8
"X3.19.20",65,329,134,2,7,5949,0,20,70561,267,26,137,1112,46,72,33,6,42,9,15,4444,150,1540,9
"X3.20.20",89,330,160,2,13,7001,0,20,71292,294,26,204,1595,16,72,33,7,53,9,20,4444,191,1540,9
"X3.21.20",93,338,190,4,17,7986,0,18,71885,344,26,257,2132,278,72,50,14,85,20,23,6076,232,1540,12
"X3.22.20",142,343,192,4,36,8333,0,12,72390,393,88,406,2582,2479,72,64,30,97,21,27,7028,235,2909,16
"X3.23.20",142,343,192,4,36,8333,0,12,72842,393,88,406,2582,2479,72,64,30,97,21,27,7028,235,2909,16
"X3.24.20",128,351,462,9,97,9434,0,31,73309,464,127,3383,3818,3722,145,119,39,144,34,40,8330,285,3507,22
"X3.25.20",186,629,548,13,104,10233,0,40,73802,515,141,3687,5391,4466,145,129,55,183,42,43,9366,310,3730,29
"X3.26.20",158,640,869,13,133,11134,2,48,74210,573,199,5916,7060,5644,155,164,57,182,42,45,10365,359,4144,38
"X3.27.20",175,668,1129,18,185,11932,8,51,74749,658,231,8413,9402,6613,156,186,64,253,52,73,10954,372,4528,45
"X3.28.20",183,685,1542,28,211,12579,21,63,75130,768,294,10236,12330,6835,156,204,64,287,61,84,12390,404,4811,49
"X3.29.20",198,706,3135,29,227,13433,27,69,75612,883,300,11285,14754,8880,156,241,64,369,62,95,13036,424,5033,64
"X3.30.20",225,724,6145,31,620,15154,31,124,75964,1167,320,15959,16825,9795,176,268,83,419,83,102,14633,424,5228,66
"X3.31.20",251,780,8651,38,1093,16155,34,132,76247,1375,432,19018,19304,11554,184,314,102,443,109,123,15742,424,5408,121
"X4.1.20",294,832,9833,46,1194,17268,41,154,76446,1688,505,23103,22692,13537,184,1322,161,510,130,148,16860,472,5567,190
"X4.2.20",318,892,10771,56,1493,18895,57,186,76612,1866,612,28202,26813,15395,197,1891,240,564,178,191,18299,472,5828,235
"X4.3.20",363,979,12515,63,1615,20370,60,192,76812,2092,752,31443,30583,17786,213,2133,251,630,157,192,19779,514,6021,281
"X4.4.20",425,1024,17862,74,2205,22723,70,204,76998,2299,828,35322,34296,19605,240,2312,341,726,174,229,21023,514,6325,333
"X4.5.20",445,1105,21093,88,2375,23223,81,293,77259,2559,913,38113,38160,20886,254,2394,385,795,180,229,21850,514,6463,355
"X4.6.20",462,1174,23470,116,2570,28358,109,346,77369,2873,1256,40274,40582,22207,312,2486,460,1061,204,375,22872,575,6598,406
"X4.7.20",552,1266,26187,137,3119,31790,114,520,77471,3140,1321,48886,43397,24495,350,2717,549,1195,215,421,24432,592,6694,494
"X4.8.20",718,1350,28346,164,3456,35143,117,560,77632,3379,1362,60667,48233,26961,370,2933,685,1320,248,506,26533,622,6776,580
"X4.9.20",883,1404,31205,206,4088,38444,133,670,77750,3668,1789,68302,52386,29418,384,3108,832,1520,341,620,28521,632,6973,698
"X4.10.20",991,1812,35278,266,4592,42424,141,830,77886,4075,2166,71132,55917,31626,613,3393,936,1691,449,774,30507,685,7117,795
"X4.11.20",1142,1892,38492,315,5209,49991,167,868,77980,4427,2228,76159,59391,33516,647,3665,1072,1852,489,969,32589,762,7243,1045
"X4.12.20",1469,2031,41883,372,5668,53029,219,1140,78069,4772,2277,80042,62712,34861,651,3893,1194,2076,597,1080,34266,762,7368,1291
"X4.13.20",1505,2107,53083,438,7037,56333,290,1210,78152,5105,2352,85398,65048,35637,329,4049,1385,2199,626,1181,35490,784,7447,1470
