1/21/2020,1
1/22/2020,3
1/23/2020,3
1/24/2020,6
1/25/2020,10
1/26/2020,11
1/27/2020,11
1/28/2020,24
1/29/2020,19
1/30/2020,18
1/31/2020,17
2/1/2020,13
2/2/2020,11
2/3/2020,9
2/4/2020,8
2/5/2020,7
2/6/2020,7
2/7/2020,7
2/8/2020,7
2/9/2020,6
2/10/2020,4
2/11/2020,5
2/12/2020,5
2/13/2020,6
2/14/2020,5
2/15/2020,5
2/16/2020,4
2/17/2020,4
2/18/2020,4
2/19/2020,3
2/20/2020,3
2/21/2020,4
2/22/2020,6
2/23/2020,14
2/24/2020,18
2/25/2020,26
2/26/2020,46
2/27/2020,51
2/28/2020,53
2/29/2020,46
3/1/2020,42
3/2/2020,41
3/3/2020,37
3/4/2020,35
3/5/2020,37
3/6/2020,36
3/7/2020,34
3/8/2020,42
3/9/2020,47
3/10/2020,52
3/11/2020,58
3/12/2020,70
3/13/2020,80
3/14/2020,78
3/15/2020,80
3/16/2020,73
3/17/2020,65
3/18/2020,61
3/19/2020,55
3/20/2020,53
3/21/2020,54
3/22/2020,100
3/23/2020,44
3/24/2020,37
3/25/2020,34
3/26/2020,32
3/27/2020,34
3/28/2020,37
3/29/2020,33
3/30/2020,29
3/31/2020,26
4/1/2020,26
4/2/2020,28
4/3/2020,60
4/4/2020,60
4/5/2020,59
4/6/2020,35
4/7/2020,32
4/8/2020,31
4/9/2020,29
4/10/2020,32
4/11/2020,31
4/12/2020,32
4/13/2020,33
4/14/2020,26
4/15/2020,39
4/16/2020,24
4/17/2020,22
4/18/2020,23
