"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X3.8.20",7412,622,367,1505,33,133,1.24793119878507,0.104723853972519,0.0617904411702807,6423,1.20496397117694,0.0495143011332974,0.083917970858068,0.24812030075188,1.69482288828338
"X3.9.20",9209,724,464,1797,102,97,1.55048548429731,0.121897219093415,0.0781219746676028,8021,1.19401993355482,0.0503854924530351,0.0786187425344771,1.05154639175258,1.56034482758621
"X3.10.20",10201,724,633,992,0,169,1.71750487841426,0.121897219093415,0.106575883544381,8844,0.552031163049527,0.0620527399274581,0.0709734339770611,0,1.14375987361769
"X3.11.20",12525,1045,829,2324,321,196,2.10878821705113,0.175942809326821,0.139575683188454,10651,2.34274193548387,0.066187624750499,0.0834331337325349,1.63775510204082,1.2605548854041
"X3.12.20",12532,1045,830,7,0,1,2.10996678132413,0.175942809326821,0.139744049513169,10657,0.00301204819277108,0.0662304500478774,0.0833865304819662,0,1.25903614457831
"X3.13.20",17741,1439,1271,5209,394,441,2.9869869667628,0.242279141264397,0.213993598712334,15031,744.142857142857,0.0716419593033087,0.0811115495180655,0.893424036281179,1.13217938630999
"X3.14.20",21238,1970,1446,3497,531,175,3.57576400428997,0.331681659687882,0.2434577055374,17822,0.671338068727203,0.0680855071098974,0.0927582634899708,3.03428571428571,1.36237897648686
"X3.15.20",24849,2339,1814,3611,369,368,4.18373480283462,0.393808833507592,0.305416513032395,20696,1.03259937088933,0.073000925590567,0.0941285363596121,1.00271739130435,1.28941565600882
"X3.16.20",28090,2753,2165,3241,414,351,4.72941006123483,0.463512491939462,0.364513093007241,23172,0.897535308778732,0.0770736917052332,0.0980064079743681,1.17948717948718,1.2715935334873
"X3.17.20",31616,2945,2510,3526,192,345,5.32306972217873,0.495838826284677,0.4225994750338,26161,1.08793582227707,0.0793901821862348,0.0931490384615385,0.556521739130435,1.17330677290837
"X3.18.20",35833,4029,2989,4217,1084,479,6.03307051350045,0.67834792227537,0.503246944572122,28815,1.19597277368123,0.0834147294393436,0.112438255239584,2.26304801670146,1.34794245567079
"X3.19.20",41155,4444,3416,5322,415,427,6.92911609363188,0.748219947031954,0.575139365225283,33295,1.26203462176903,0.0830032802818613,0.107982019195723,0.971896955503513,1.30093676814988
"X3.20.20",47166,4444,4046,6011,0,630,7.94116607149171,0.748219947031954,0.681210149795519,38676,1.12946260804209,0.0857821311962007,0.0942204130093712,0,1.09836875926841
"X3.21.20",53723,6076,4845,6557,1632,799,9.04514406264574,1.02299378896628,0.815734843242533,42802,1.09083347196806,0.0901848370344173,0.113098672821696,2.04255319148936,1.25407636738906
"X3.22.20",59314,7028,5496,5591,952,651,9.98648018412541,1.18327853009464,0.925341320631778,46790,0.852676528900412,0.0926594058738241,0.118488046666891,1.46236559139785,1.27874818049491
"X3.23.20",64115,7028,6097,4801,0,601,10.7948069090805,1.18327853009464,1.02652948178529,50990,0.858701484528707,0.0950947516181861,0.10961553458629,0,1.15269804822044
"X3.24.20",69367,8330,6841,5252,1302,744,11.6790668464819,1.40249148487313,1.151794027373,54196,1.09393876275776,0.0986203814493924,0.120085919817781,1.75,1.21765823709984
"X3.25.20",74598,9366,7524,5231,1036,683,12.5597910910643,1.57691899727752,1.26678822715311,57708,0.996001523229246,0.100860612885064,0.125552963886431,1.51683748169839,1.24481658692185
"X3.26.20",80801,10365,8236,6203,999,712,13.6041674032693,1.74511695566746,1.38666505034995,62200,1.18581533167654,0.101929431566441,0.128278115369859,1.40308988764045,1.25849927149102
"X3.27.20",86725,10954,9155,5924,589,919,14.601569510879,1.8442847209244,1.54139370276272,66616,0.955021763662744,0.105563562986451,0.12630729316806,0.640914036996736,1.19650464227198
"X3.28.20",92702,12390,10045,5977,1436,890,15.6078950336985,2.08605876321465,1.69123973175877,70267,1.00894665766374,0.108357964229466,0.133654074345753,1.61348314606742,1.23344947735192
"X3.29.20",97919,13036,10801,5217,646,756,16.4862621497349,2.19482340898032,1.81852467324306,74082,0.872845909319056,0.110305456550823,0.133130444551109,0.854497354497355,1.20692528469586
"X3.30.20",101975,14633,11616,4056,1597,815,17.1691559627776,2.46370442954964,1.9557432278855,75726,0.777458309373203,0.113910272125521,0.143495954890905,1.95950920245399,1.25972796143251
"X3.31.20",106034,15742,12454,4059,1109,838,17.8525548747944,2.6504226836582,2.09683420799639,77838,1.00073964497041,0.117452892468454,0.148461814135089,1.32338902147971,1.26401156255018
"X4.1.20",110816,16860,13181,4782,1118,727,18.6576826395799,2.83865623468919,2.21923652606395,80775,1.17812269031781,0.118944917701415,0.152144094715565,1.53782668500688,1.27911387603368
"X4.2.20",115494,18299,13945,4678,1439,764,19.4453003065951,3.08093537595358,2.34786839814595,83250,0.978251777498954,0.120742203058168,0.158441131141012,1.88350785340314,1.31222660451775
"X4.3.20",120079,19779,14711,4585,1480,766,20.2172599054118,3.33011753653128,2.47683700287738,85589,0.980119709277469,0.122511013582725,0.164716561596949,1.93211488250653,1.34450411256883
"X4.4.20",124898,21023,15394,4819,1244,683,21.0286172242118,3.53956524447632,2.59183120265749,88481,1.05103598691385,0.123252574100466,0.168321350221781,1.82137628111274,1.36566194621281
"X4.5.20",129221,21850,15919,4323,827,525,21.7564648459532,3.67880419501535,2.68022352313269,91452,0.897074081759701,0.123192050827652,0.16909016336354,1.5752380952381,1.372573654124
"X4.6.20",132820,22872,16555,3599,1022,636,22.3624152486013,3.85087457887373,2.78730450565122,93393,0.832523710386306,0.124642373136576,0.172202981478693,1.60691823899371,1.38157656297191
"X4.7.20",135872,24432,17161,3052,1560,606,22.8762692716304,4.1135260454286,2.8893344984283,94279,0.848013337038066,0.126302696655676,0.179816297691945,2.57425742574257,1.42369325796865
"X4.8.20",139709,26533,17703,3837,2101,542,23.5222908595606,4.4672636936541,2.98058904642365,95473,1.25720838794233,0.126713382817141,0.189916182923076,3.87638376383764,1.49878551657911
"X4.9.20",143967,28521,18313,4258,1988,610,24.2391946701956,4.80197594718685,3.08329250449959,97133,1.1097211363044,0.127202761744011,0.198107899727021,3.25901639344262,1.55741822748867
