"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X3.18.20",156,14,3,14,0,0,0.00116489183833296,0.000104541575235009,2.24017661217877e-05,139,0.608695652173913,0.0192307692307692,0.0897435897435897,0,4.66666666666667
"X3.19.20",194,15,4,38,1,1,0.00144864754254227,0.000112008830608939,2.9869021495717e-05,175,2.71428571428571,0.0206185567010309,0.077319587628866,1,3.75
"X3.20.20",244,20,5,50,5,1,0.00182201031123874,0.000149345107478585,3.73362768696462e-05,219,1.31578947368421,0.0204918032786885,0.0819672131147541,5,4
"X3.21.20",330,23,4,86,3,-1,0.00246419427339665,0.000171746873600373,2.9869021495717e-05,303,1.72,0.0121212121212121,0.0696969696969697,-3,5.75
"X3.22.20",396,27,7,66,4,3,0.00295703312807598,0.00020161589509609,5.22707876175047e-05,362,0.767441860465116,0.0176767676767677,0.0681818181818182,1.33333333333333,3.85714285714286
"X3.23.20",499,27,10,103,0,3,0.00372616043159069,0.00020161589509609,7.46725537392925e-05,462,1.56060606060606,0.0200400801603206,0.0541082164328657,0,2.7
"X3.24.20",536,40,10,37,13,0,0.00400244888042608,0.00029869021495717,7.46725537392925e-05,486,0.359223300970874,0.0186567164179104,0.0746268656716418,13,4
"X3.25.20",657,43,12,121,3,2,0.00490598678067151,0.000321091981078958,8.9607064487151e-05,602,3.27027027027027,0.0182648401826484,0.0654490106544901,1.5,3.58333333333333
"X3.26.20",727,45,20,70,2,8,0.00542869465684656,0.000336026491826816,0.000149345107478585,662,0.578512396694215,0.0275103163686382,0.061898211829436,0.25,2.25
"X3.27.20",887,73,20,160,28,0,0.00662345551667524,0.000545109642296835,0.000149345107478585,794,2.28571428571429,0.0225479143179256,0.0822998872604284,28,3.65
"X3.28.20",987,84,24,100,11,4,0.00737018105406817,0.000627249451410057,0.000179214128974302,879,0.625,0.0243161094224924,0.0851063829787234,2.75,3.5
"X3.29.20",1024,95,27,37,11,3,0.00764646950290355,0.000709389260523278,0.00020161589509609,902,0.37,0.0263671875,0.0927734375,3.66666666666667,3.51851851851852
"X3.30.20",1251,102,32,227,7,5,0.00934153647278549,0.000761660048140783,0.000238952171965736,1117,6.13513513513514,0.0255795363709033,0.0815347721822542,1.4,3.1875
"X3.31.20",1397,123,35,146,21,3,0.0104317557573792,0.000918472410993297,0.000261353938087524,1239,0.643171806167401,0.0250536864710093,0.0880458124552613,7,3.51428571428571
