"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X3.13.20",2903,5,1,823,0,0,1.08289010873701,0.00186512247457288,0.000373024494914576,2897,2.08883248730964,0.00034447123665174,0.0017223561832587,0,5
"X3.14.20",3268,5,6,365,0,5,1.21904404938083,0.00186512247457288,0.00223814696948745,3257,0.443499392466586,0.0018359853121175,0.00152998776009792,0,0.833333333333333
"X3.15.20",3533,21,13,265,16,7,1.3178955405332,0.00783351439320609,0.00484931843388948,3499,0.726027397260274,0.00367959241437872,0.00594395697707331,2.28571428571429,1.61538461538462
"X3.16.20",3826,13,12,293,-8,-1,1.42719171754317,0.00484931843388948,0.00447629393897491,3801,1.10566037735849,0.00313643491897543,0.00339780449555672,8,1.08333333333333
"X3.17.20",4219,13,15,393,0,3,1.5737903440446,0.00484931843388948,0.00559536742371864,4191,1.34129692832765,0.00355534486845224,0.00308129888599194,0,0.866666666666667
"X3.18.20",4531,18,21,312,5,6,1.69017398645794,0.00671444090846236,0.00783351439320609,4492,0.793893129770992,0.00463473846832929,0.00397263297285367,0.833333333333333,0.857142857142857
"X3.19.20",5140,33,25,609,15,4,1.91734590386092,0.012309808332181,0.00932561237286439,5082,1.95192307692308,0.00486381322957198,0.00642023346303502,3.75,1.32
"X3.20.20",5749,33,32,609,0,7,2.1445178212639,0.012309808332181,0.0119367838372664,5684,1,0.00556618542355192,0.00574012871803792,0,1.03125
"X3.21.20",6297,50,42,548,17,10,2.34893524447708,0.0186512247457288,0.0156670287864122,6205,0.899835796387521,0.00666984278227727,0.00794028902652056,1.7,1.19047619047619
"X3.22.20",7027,64,43,730,14,1,2.62124312576472,0.0238735676745328,0.0160400532813268,6920,1.33211678832117,0.00611925430482425,0.00910772733741284,14,1.48837209302326
"X3.23.20",7527,64,61,500,0,18,2.80775537322201,0.0238735676745328,0.0227544941897891,7402,0.684931506849315,0.00810415836322572,0.00850272352863026,0,1.04918032786885
"X3.24.20",8307,119,83,780,55,22,3.09871447925538,0.0443899148948345,0.0309610330779098,8105,1.56,0.00999157337185506,0.0143252678463946,2.5,1.43373493975904
"X3.25.20",9089,129,115,782,10,32,3.39041963427858,0.0481201598439803,0.0428978169151762,8845,1.0025641025641,0.0126526570579822,0.0141929805259104,0.3125,1.12173913043478
"X3.26.20",9992,164,139,903,35,24,3.72726075318644,0.0611760171659904,0.051850404793126,9689,1.15473145780051,0.0139111289031225,0.0164131305044035,1.45833333333333,1.17985611510791
"X3.27.20",10955,186,185,963,22,46,4.08648334178918,0.0693825560541111,0.0690095315591965,10584,1.06644518272425,0.016887266088544,0.0169785486079416,0.478260869565217,1.00540540540541
"X3.28.20",11958,204,204,1003,18,19,4.4606269101885,0.0760969969625735,0.0760969969625735,11550,1.04153686396677,0.017059708981435,0.017059708981435,0.947368421052632,1
"X3.29.20",12808,241,220,850,37,16,4.77769773086589,0.0898989032744127,0.0820653888812067,12347,0.847457627118644,0.0171767645221736,0.0188163647720175,2.3125,1.09545454545455
"X3.30.20",13666,268,270,858,27,50,5.09775274750259,0.0999705646371063,0.100716613626935,13128,1.00941176470588,0.0197570613200644,0.0196107127176935,0.54,0.992592592592593
"X3.31.20",14668,314,328,1002,46,58,5.471523291407,0.117129691403177,0.122352034331981,14026,1.16783216783217,0.0223616034905918,0.0214071448050177,0.793103448275862,0.957317073170732
"X4.1.20",15766,1322,406,1098,1008,78,5.8811041868232,0.493138382277069,0.151447944935318,14038,1.09580838323353,0.0257516174045414,0.0838513256374477,12.9230769230769,3.25615763546798
"X4.2.20",17125,1891,504,1359,569,98,6.38804447541211,0.705389319883463,0.188004345436946,14730,1.23770491803279,0.0294306569343066,0.110423357664234,5.80612244897959,3.75198412698413
"X4.3.20",18426,2133,580,1301,242,76,6.87334934329597,0.79566124765279,0.216354207050454,15713,0.957321559970567,0.031477260392923,0.115760338651905,3.18421052631579,3.67758620689655
"X4.4.20",19561,2312,625,1135,179,45,7.29673214502402,0.862432632242499,0.23314030932161,16624,0.872405841660261,0.0319513317315066,0.118194366341189,3.97777777777778,3.6992
"X4.5.20",20491,2394,683,930,82,58,7.64364492529457,0.893020640825494,0.254775730026655,17414,0.819383259911894,0.0333317066028988,0.116831779805768,1.41379310344828,3.50512445095168
"X4.6.20",21684,2486,773,1193,92,90,8.08866314772766,0.927338894357635,0.288347934568967,18425,1.28279569892473,0.0356484043534403,0.114646744143147,1.02222222222222,3.21604139715395
"X4.7.20",22939,2717,923,1255,231,150,8.55680888884545,1.0135075526829,0.344301608806153,19299,1.05196982397318,0.0402371507040412,0.118444570382318,1.54,2.94366197183099
"X4.8.20",24205,2933,1052,1266,216,129,9.02905789940731,1.09408084358445,0.392421768650134,20220,1.00876494023904,0.043462094608552,0.121173311299318,1.67441860465116,2.78802281368821
