"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X3.22.2020",466,4,8,138,0,1,0.057187355988493,0.000490878592175906,0.000981757184351812,454,0,0.0171673819742489,0.00858369098712446,0,0.5
"X3.23.2020",555,4,8,89,0,0,0.0681094046644069,0.000490878592175906,0.000981757184351812,543,0,0.0144144144144144,0.00720720720720721,0,0.5
"X3.24.2020",657,9,11,102,5,3,0.0806268087648925,0.00110447683239579,0.00134991612848374,637,1,0.0167427701674277,0.0136986301369863,1.66666666666667,0.818181818181818
"X3.25.2020",797,13,15,140,4,4,0.0978075594910492,0.00159535542457169,0.00184079472065965,769,1,0.0188205771643664,0.0163111668757842,1,0.866666666666667
"X3.26.2020",972,13,17,175,0,2,0.119283497898745,0.00159535542457169,0.0020862340167476,942,0,0.0174897119341564,0.0133744855967078,0,0.764705882352941
"X3.27.2020",1136,18,28,164,5,11,0.139409520177957,0.00220895366479158,0.00343615014523134,1090,1,0.0246478873239437,0.0158450704225352,0.454545454545455,0.642857142857143
"X3.28.2020",1392,28,37,256,10,9,0.170825750077215,0.00343615014523134,0.00454062697762713,1327,1,0.0265804597701149,0.0201149425287356,1.11111111111111,0.756756756756757
"X3.29.2020",1616,29,50,224,1,13,0.198314951239066,0.00355886979327532,0.00613598240219882,1537,1,0.0309405940594059,0.0179455445544554,0.0769230769230769,0.58
"X3.30.2020",1755,31,58,139,2,8,0.215372982317179,0.00380430908936327,0.00711773958655063,1666,1,0.0330484330484331,0.0176638176638177,0.25,0.53448275862069
"X3.31.2020",2010,38,70,255,7,12,0.246666492568393,0.0046633466256711,0.00859037536307835,1902,1,0.0348258706467662,0.0189054726368159,0.583333333333333,0.542857142857143
"X4.1.2020",2287,46,82,277,8,12,0.280659835076574,0.00564510381002292,0.0100630111396061,2159,1,0.0358548316571928,0.020113686051596,0.666666666666667,0.560975609756098
"X4.2.2020",2512,56,90,225,10,8,0.308271755886469,0.00687230029046268,0.0110447683239579,2366,1,0.035828025477707,0.0222929936305732,1.25,0.622222222222222
"X4.3.2020",2704,63,99,192,7,9,0.331833928310912,0.00773133782677052,0.0121492451563537,2542,1,0.036612426035503,0.0232988165680473,0.777777777777778,0.636363636363636
"X4.4.2020",2825,74,104,121,11,5,0.346683005724233,0.00908125395525426,0.0127628433965735,2647,1,0.0368141592920354,0.0261946902654867,2.2,0.711538461538462
"X4.5.2020",3156,88,129,331,14,25,0.38730320922679,0.0107993290278699,0.015830834597673,2939,1,0.0408745247148289,0.0278833967046895,0.56,0.682170542635659
"X4.6.2020",3339,116,139,183,28,10,0.409760904818837,0.0142354791731013,0.0170580310781127,3084,1,0.0416292303084756,0.0347409404013178,2.8,0.834532374100719
"X4.7.2020",3571,137,156,232,21,17,0.43823186316504,0.0168125917820248,0.0191442650948603,3278,1,0.0436852422290675,0.0383646037524503,1.23529411764706,0.878205128205128
"X4.8.2020",3848,164,172,277,27,16,0.472225205673221,0.0201260222792121,0.0211077794635639,3512,1,0.0446985446985447,0.0426195426195426,1.6875,0.953488372093023
"X4.9.2020",4243,206,189,395,42,17,0.520699466650592,0.0252802474970591,0.0231940134803115,3848,1,0.0445439547489984,0.0485505538534056,2.47058823529412,1.08994708994709
"X4.10.2020",4675,266,199,432,60,10,0.57371435460559,0.0326434263796977,0.0244212099607513,4210,1,0.0425668449197861,0.0568983957219251,6,1.33668341708543
"X4.11.2020",4926,315,210,251,49,11,0.604516986264628,0.0386566891338526,0.0257711260892351,4401,1,0.0426309378806334,0.0639464068209501,4.45454545454545,1.5
"X4.12.2020",5236,372,254,310,57,44,0.642560077158261,0.0456517090723592,0.03117079060317,4610,1,0.0485103132161956,0.0710466004583652,1.29545454545455,1.46456692913386
"X4.13.2020",5546,438,261,310,66,7,0.680603168051893,0.0537512058432617,0.0320298281394778,4847,1,0.0470609448250992,0.0789758384421204,9.42857142857143,1.67816091954023
"X4.14.2020",5748,476,268,202,38,7,0.705392536956777,0.0584145524689328,0.0328888656757857,5004,1,0.046624913013222,0.0828114126652749,5.42857142857143,1.77611940298507
"X4.15.2020",6221,553,285,473,77,17,0.763438930481578,0.067863965368319,0.0349750996925333,5383,1,0.0458125703263141,0.0888924610191288,4.52941176470588,1.94035087719298
