"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.26.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.27.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.28.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.29.20",4,0,0,4,0,0,0.000113901297731303,0,0,4,0,0,0,0,0
"X1.30.20",4,0,0,0,0,0,0.000113901297731303,0,0,4,0,0,0,0,0
"X1.31.20",4,0,0,0,0,0,0.000113901297731303,0,0,4,0,0,0,0,0
"X2.1.20",4,0,0,0,0,0,0.000113901297731303,0,0,4,0,0,0,0,0
"X2.2.20",5,0,0,1,0,0,0.000142376622164129,0,0,5,0,0,0,0,0
"X2.3.20",5,0,0,0,0,0,0.000142376622164129,0,0,5,0,0,0,0,0
"X2.4.20",5,0,0,0,0,0,0.000142376622164129,0,0,5,0,0,0,0,0
"X2.5.20",5,0,0,0,0,0,0.000142376622164129,0,0,5,0,0,0,0,0
"X2.6.20",5,0,0,0,0,0,0.000142376622164129,0,0,5,0,0,0,0,0
"X2.7.20",5,0,0,0,0,0,0.000142376622164129,0,0,5,0,0,0,0,0
"X2.8.20",7,0,0,2,0,0,0.000199327271029781,0,0,7,0,0,0,0,0
"X2.9.20",7,0,0,0,0,0,0.000199327271029781,0,0,7,0,0,0,0,0
"X2.10.20",8,0,0,1,0,0,0.000227802595462607,0,0,8,0,0,0,0,0
"X2.11.20",8,0,0,0,0,0,0.000227802595462607,0,0,8,0,0,0,0,0
"X2.12.20",8,1,0,0,1,0,0.000227802595462607,2.84753244328259e-05,0,7,1,0,0.125,1,1
"X2.13.20",8,1,0,0,0,0,0.000227802595462607,2.84753244328259e-05,0,7,0,0,0.125,0,1
"X2.14.20",8,1,0,0,0,0,0.000227802595462607,2.84753244328259e-05,0,7,0,0,0.125,0,1
