"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X3.4.20",331,43,6,38,0,0,0.0259639508975408,0.00337296038850228,0.00047064563560497,282,0,0.0181268882175227,0.129909365558912,0,7.16666666666667
"X3.5.20",360,43,6,29,0,0,0.0282387381362982,0.00337296038850228,0.00047064563560497,311,0,0.0166666666666667,0.119444444444444,0,7.16666666666667
"X3.6.20",420,46,6,60,3,0,0.0329451944923479,0.00360828320630477,0.00047064563560497,368,1,0.0142857142857143,0.10952380952381,3,7.66666666666667
"X3.7.20",461,76,6,41,30,0,0.0361612730023152,0.00596151138432962,0.00047064563560497,379,1,0.0130151843817787,0.164859002169197,30,12.6666666666667
"X3.8.20",502,76,6,41,0,0,0.0393773515122825,0.00596151138432962,0.00047064563560497,420,0,0.0119521912350598,0.151394422310757,0,12.6666666666667
"X3.9.20",511,76,10,9,0,4,0.0400833199656899,0.00596151138432962,0.00078440939267495,425,0,0.0195694716242661,0.148727984344423,0,7.6
"X3.10.20",581,101,10,70,25,0,0.0455741857144146,0.00792253486601699,0.00078440939267495,470,1,0.0172117039586919,0.173838209982788,25,10.1
"X3.11.20",639,118,15,58,17,5,0.0501237601919293,0.00925603083356441,0.00117661408901242,506,1,0.0234741784037559,0.184663536776213,3.4,7.86666666666667
"X3.12.20",639,118,16,0,0,1,0.0501237601919293,0.00925603083356441,0.00125505502827992,505,0,0.0250391236306729,0.184663536776213,0,7.375
"X3.13.20",701,118,19,62,0,3,0.054987098426514,0.00925603083356441,0.0014903778460824,564,0,0.0271041369472183,0.168330955777461,0,6.21052631578947
"X3.14.20",773,118,22,72,0,3,0.0606348460537736,0.00925603083356441,0.00172570066388489,633,0,0.0284605433376455,0.152652005174644,0,5.36363636363636
"X3.15.20",839,118,22,66,0,0,0.0658119480454283,0.00925603083356441,0.00172570066388489,699,0,0.0262216924910608,0.140643623361144,0,5.36363636363636
"X3.16.20",839,144,27,0,26,5,0.0658119480454283,0.0112954952545193,0.00211790536022236,668,1,0.032181168057211,0.171632896305125,5.2,5.33333333333333
"X3.17.20",878,144,29,39,0,2,0.0688711446768606,0.0112954952545193,0.00227478723875735,705,0,0.0330296127562642,0.164009111617312,0,4.96551724137931
"X3.18.20",889,144,29,11,0,0,0.069733995008803,0.0112954952545193,0.00227478723875735,716,0,0.0326209223847019,0.161979752530934,0,4.96551724137931
"X3.19.20",924,150,29,35,6,0,0.0724794278831654,0.0117661408901242,0.00227478723875735,745,1,0.0313852813852814,0.162337662337662,6,5.17241379310345
"X3.20.20",963,191,33,39,41,4,0.0755386245145977,0.0149822194000915,0.00258855099582733,739,1,0.0342679127725857,0.198338525441329,10.25,5.78787878787879
"X3.21.20",1007,232,35,44,41,2,0.0789900258423674,0.0181982979100588,0.00274543287436232,740,1,0.0347567030784508,0.23038728897716,20.5,6.62857142857143
