"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X3.16.20",90,8,0,27,0,0,0.00625044473650535,0.000555595087689364,0,82,0,0,0.0888888888888889,0,8
"X3.17.20",114,8,0,24,0,0,0.00791722999957344,0.000555595087689364,0,106,0,0,0.0701754385964912,0,8
"X3.18.20",147,8,0,33,0,0,0.0102090597362921,0.000555595087689364,0,139,0,0,0.054421768707483,0,8
"X3.19.20",199,9,1,52,1,1,0.0138204278062729,0.000625044473650535,6.94493859611705e-05,189,1,0.0050251256281407,0.0452261306532663,1,9
"X3.20.20",253,9,1,54,0,0,0.0175706946481761,0.000625044473650535,6.94493859611705e-05,243,0,0.00395256916996047,0.0355731225296443,0,9
"X3.21.20",306,12,1,53,3,0,0.0212515121041182,0.000833392631534046,6.94493859611705e-05,293,1,0.00326797385620915,0.0392156862745098,3,12
"X3.22.20",367,16,1,61,4,0,0.0254879246477496,0.00111119017537873,6.94493859611705e-05,350,1,0.00272479564032698,0.0435967302452316,4,16
"X3.23.20",438,16,1,71,0,0,0.0304188310509927,0.00111119017537873,6.94493859611705e-05,421,0,0.00228310502283105,0.0365296803652968,0,16
"X3.24.20",495,22,1,57,6,0,0.0343774460507794,0.00152788649114575,6.94493859611705e-05,472,1,0.00202020202020202,0.0444444444444444,6,22
"X3.25.20",658,29,3,163,7,2,0.0456976959624502,0.00201403219287395,0.000208348157883512,626,1,0.00455927051671732,0.0440729483282675,3.5,9.66666666666667
"X3.26.20",840,38,3,182,9,0,0.0583374842073833,0.00263907666652448,0.000208348157883512,799,1,0.00357142857142857,0.0452380952380952,9,12.6666666666667
"X3.27.20",1036,45,4,196,7,1,0.0719495638557727,0.00312522236825267,0.000277797543844682,987,1,0.00386100386100386,0.0434362934362934,7,11.25
"X3.28.20",1264,49,4,228,4,0,0.0877840238549196,0.00340301991209736,0.000277797543844682,1211,1,0.00316455696202532,0.0387658227848101,4,12.25
"X3.29.20",1534,64,8,270,15,4,0.106535358064436,0.00444476070151491,0.000555595087689364,1462,1,0.00521512385919166,0.0417209908735332,3.75,8
"X3.30.20",1836,66,9,302,2,1,0.127509072624709,0.00458365947343726,0.000625044473650535,1761,1,0.00490196078431373,0.0359477124183007,2,7.33333333333333
"X3.31.20",2337,121,17,501,55,8,0.162303214991256,0.00840337570130164,0.0011806395613399,2199,1,0.00727428326914848,0.0517757809157039,6.875,7.11764705882353
"X4.1.20",2777,190,24,440,69,7,0.192860944814171,0.0131953833326224,0.00166678526306809,2563,1,0.00864241987756572,0.0684191573640619,9.85714285714286,7.91666666666667
"X4.2.20",3548,235,30,771,45,6,0.246406421390233,0.0163206057008751,0.00208348157883512,3283,1,0.0084554678692221,0.0662344983089064,7.5,7.83333333333333
"X4.3.20",4149,281,34,601,46,4,0.288145502352897,0.0195152774550889,0.0023612791226798,3834,1,0.00819474572186069,0.0677271631718486,11.5,8.26470588235294
"X4.4.20",4731,333,43,582,52,9,0.328565044982298,0.0231266455250698,0.00298632359633033,4355,1,0.00908898752906362,0.0703868103994927,5.77777777777778,7.74418604651163
