"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X1.22.2020",549,28,17,0,0,0,0.00388646965473801,0.000198217031571338,0.000120346054882598,504,0,0.0309653916211293,0.0510018214936248,0,1.64705882352941
"X1.23.2020",644,30,18,95,2,1,0.00455899172614077,0.00021237539096929,0.000127425234581574,596,1,0.0279503105590062,0.046583850931677,2,1.66666666666667
"X1.24.2020",923,36,26,279,6,8,0.00653408286215517,0.000254850469163148,0.000184058672173385,861,1,0.028169014084507,0.0390032502708559,0.75,1.38461538461538
"X1.25.2020",1409,39,42,486,3,16,0.00997456419585767,0.000276088008260077,0.000297325547357007,1328,1,0.0298083747338538,0.0276792051100071,0.1875,0.928571428571429
"X1.26.2020",2079,49,56,670,10,14,0.0147176145941718,0.000346879805249841,0.000396434063142675,1974,1,0.0269360269360269,0.0235690235690236,0.714285714285714,0.875
"X1.27.2020",2882,58,82,803,9,26,0.0204021958924498,0.000410592422540628,0.00058049273531606,2742,1,0.0284524635669674,0.0201249132546842,0.346153846153846,0.707317073170732
"X1.28.2020",5517,101,131,2635,43,49,0.0390558343992525,0.000714997149596611,0.000927372540565901,5285,1,0.0237447888345115,0.0183070509334783,0.877551020408163,0.770992366412214
"X1.29.2020",6095,120,133,578,19,2,0.0431476002652608,0.000849501563877161,0.000941530899963854,5842,1,0.0218211648892535,0.0196882690730107,9.5,0.902255639097744
"X1.30.2020",8150,135,171,2055,15,38,0.0576953145466572,0.000955689259361807,0.00121053972852496,7844,1,0.0209815950920245,0.0165644171779141,0.394736842105263,0.789473684210526
"X1.31.2020",9812,214,213,1662,79,42,0.0694609112063559,0.00151494445558094,0.00150786527588196,9385,1,0.0217081125152874,0.0218100285364859,1.88095238095238,1.00469483568075
"X2.1.2020",11901,275,259,2089,61,46,0.0842493175975175,0.0019467744172185,0.00183350754203487,11367,1,0.0217628770691539,0.0231073019074027,1.32608695652174,1.06177606177606
