"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X3.8.20",589,16,21,127,0,4,0.0120143534685371,0.000326366138364336,0.000428355556603191,552,0.875862068965517,0.0356536502546689,0.0271646859083192,0,0.761904761904762
"X3.9.20",667,16,23,78,0,2,0.0136053883930633,0.000326366138364336,0.000469151323898733,628,0.614173228346457,0.0344827586206897,0.0239880059970015,0,0.695652173913043
"X3.10.20",1045,20,29,378,4,6,0.0213157884119207,0.00040795767295542,0.000591538625785359,996,4.84615384615385,0.0277511961722488,0.0191387559808612,0.666666666666667,0.689655172413793
"X3.11.20",1397,20,37,352,0,8,0.0284958434559361,0.00040795767295542,0.000754721694967527,1340,0.931216931216931,0.0264853256979241,0.0143163922691482,0,0.540540540540541
"X3.12.20",1792,24,41,395,4,4,0.0365530074968056,0.000489549207546504,0.000836313229558611,1727,1.12215909090909,0.0228794642857143,0.0133928571428571,1,0.585365853658537
"X3.13.20",2384,24,48,592,0,7,0.048628554616286,0.000489549207546504,0.000979098415093008,2312,1.49873417721519,0.0201342281879195,0.0100671140939597,0,0.5
"X3.14.20",2951,24,55,567,0,7,0.0601941546445722,0.000489549207546504,0.0011218836006274,2872,0.95777027027027,0.018637749915283,0.00813283632666893,0,0.436363636363636
"X3.15.20",3792,24,64,841,0,9,0.0773487747923476,0.000489549207546504,0.00130546455345734,3704,1.48324514991182,0.0168776371308017,0.00632911392405063,0,0.375
"X3.16.20",5100,30,89,1308,6,25,0.104029206603632,0.00061193650943313,0.00181541164465162,4981,1.55529131985731,0.0174509803921569,0.00588235294117647,0.24,0.337078651685393
"X3.17.20",6981,30,113,1881,0,24,0.142397625745089,0.00061193650943313,0.00230496085219812,6838,1.43807339449541,0.0161867927231056,0.00429737859905458,0,0.265486725663717
"X3.18.20",8533,118,126,1552,88,13,0.17405514116643,0.00240695027043698,0.00257013333961914,8289,0.825093035619351,0.014766201804758,0.0138286651822337,6.76923076923077,0.936507936507937
"X3.19.20",14665,134,210,6132,16,84,0.299134963694562,0.00273331640880131,0.00428355556603191,14321,3.95103092783505,0.0143198090692124,0.00913740197749744,0.19047619047619,0.638095238095238
"X3.20.20",20380,160,257,5715,26,47,0.415708868741573,0.00326366138364336,0.00524225609747715,19963,0.931996086105675,0.0126104023552502,0.00785083415112856,0.553191489361702,0.622568093385214
"X3.21.20",27080,190,328,6700,30,71,0.552374689181638,0.00387559789307649,0.00669050583646889,26562,1.17235345581802,0.0121122599704579,0.00701624815361891,0.422535211267606,0.579268292682927
"X3.22.20",34996,192,440,7916,2,112,0.713844336137394,0.00391639366037203,0.00897506880501924,34364,1.18149253731343,0.0125728654703395,0.00548634129614813,0.0178571428571429,0.436363636363636
"X3.23.20",46247,192,585,11251,0,145,0.943340925058465,0.00391639366037203,0.011932761933946,45470,1.42129863567458,0.012649469154756,0.0041516206456635,0,0.328205128205128
"X3.24.20",56893,462,736,10646,270,151,1.16049679437264,0.0094238222452702,0.0150128423647595,55695,0.946227002044263,0.0129365651310355,0.00812050691649236,1.78807947019868,0.627717391304348
"X3.25.20",69434,548,977,12541,86,241,1.41630665319933,0.0111780402389785,0.0199287323238723,67909,1.17800112718392,0.0140709162658064,0.00789238701500706,0.356846473029046,0.560900716479017
"X3.26.20",88353,869,1253,18919,321,276,1.80221421393151,0.017725760889913,0.0255585482106571,86231,1.50857188421976,0.0141817482145485,0.00983554604823832,1.16304347826087,0.693535514764565
"X3.27.20",106924,1129,1643,18571,260,390,2.18102331115427,0.0230292106383335,0.0335137228332877,104152,0.98160579311803,0.015366054393775,0.0105589016497699,0.666666666666667,0.68715763846622
"X3.28.20",127758,1542,2099,20834,413,456,2.60599281907193,0.0314535365848629,0.0428151577766713,124117,1.12185665823057,0.0164294995225348,0.0120696942657211,0.905701754385965,0.734635540733683
"X3.29.20",148037,3135,2547,20279,1593,448,3.01964150156507,0.0639473652357621,0.0519534096508727,142355,0.973360852452722,0.017205158169917,0.0211771381478955,3.55580357142857,1.23085983510012
