,confirm,recover,death,confirm_daily,recover_daily,death_daily,confirm_RP,recover_RP,death_RP,Exists,ReDR,DeathR,HealR,RiskD,RiskT
X1.22.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1.23.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1.24.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1.25.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1.26.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1.27.20,1,0,0,1,0,0,0.00010064,0,0,1,0,0,0,0,0
X1.28.20,4,0,0,3,0,0,0.000402562,0,0,4,0,0,0,0,0
X1.29.20,4,0,0,0,0,0,0.000402562,0,0,4,0,0,0,0,0
X1.30.20,4,0,0,0,0,0,0.000402562,0,0,4,0,0,0,0,0
X1.31.20,5,0,0,1,0,0,0.000503202,0,0,5,0,0,0,0,0
X2.1.20,8,0,0,3,0,0,0.000805124,0,0,8,0,0,0,0,0
X2.2.20,10,0,0,2,0,0,0.001006405,0,0,10,0,0,0,0,0
X2.3.20,12,0,0,2,0,0,0.001207686,0,0,12,0,0,0,0,0
X2.4.20,12,0,0,0,0,0,0.001207686,0,0,12,0,0,0,0,0
X2.5.20,12,0,0,0,0,0,0.001207686,0,0,12,0,0,0,0,0
X2.6.20,12,0,0,0,0,0,0.001207686,0,0,12,0,0,0,0,0
X2.7.20,13,0,0,1,0,0,0.001308326,0,0,13,0,0,0,0,0
X2.8.20,13,0,0,0,0,0,0.001308326,0,0,13,0,0,0,0,0
X2.9.20,14,0,0,1,0,0,0.001408967,0,0,14,0,0,0,0,0
X2.10.20,14,0,0,0,0,0,0.001408967,0,0,14,0,0,0,0,0
X2.11.20,16,0,0,2,0,0,0.001610248,0,0,16,0,0,0,0,0
X2.12.20,16,0,0,0,0,0,0.001610248,0,0,16,0,0,0,0,0
