"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ReDR","DeathR","HealR","RiskD","RiskT"
"X3.7.2020",1320,13,12,423,0,2,0.140210834819878,0.00138086428231698,0.00127464395290798,1295,0,0.00909090909090909,0.00984848484848485,0,1.08333333333333
"X3.8.2020",1606,13,22,286,0,10,0.170589849030852,0.00138086428231698,0.00233684724699797,1571,0,0.0136986301369863,0.00809464508094645,0,0.590909090909091
"X3.9.2020",1784,13,22,178,0,0,0.189497067665653,0.00138086428231698,0.00233684724699797,1749,0,0.0123318385650224,0.00728699551569507,0,0.590909090909091
"X3.10.2020",2450,13,37,666,0,15,0.260239807052046,0.00138086428231698,0.00393015218813294,2400,0,0.0151020408163265,0.00530612244897959,0,0.351351351351351
"X3.11.2020",3119,13,56,669,0,19,0.331301207426666,0.00138086428231698,0.00594833844690391,3050,0,0.0179544725873677,0.00416800256492466,0,0.232142857142857
"X3.12.2020",3132,14,56,13,1,0,0.332682071708983,0.00148708461172598,0.00594833844690391,3062,1,0.0178799489144317,0.00446998722860792,1,0.25
"X3.13.2020",5083,13,92,1951,-1,36,0.539917934385939,0.00138086428231698,0.00977227030562786,4978,1,0.0180995475113122,0.00255754475703325,-0.0277777777777778,0.141304347826087
"X3.14.2020",6201,16,108,1118,3,16,0.6586722626652,0.00169952527054398,0.0114717955761718,6077,1,0.0174165457184325,0.00258022899532333,0.1875,0.148148148148148
"X3.15.2020",6618,16,116,417,0,8,0.702966140028752,0.00169952527054398,0.0123215582114438,6486,0,0.0175279540646721,0.0024176488365065,0,0.137931034482759
"X3.16.2020",9243,16,179,2625,0,63,0.981794504727373,0.00169952527054398,0.0190134389642107,9048,0,0.0193660067077789,0.00173103970572325,0,0.0893854748603352
"X3.17.2020",10855,16,203,1612,0,24,1.15302167573468,0.00169952527054398,0.0215627268700267,10636,0,0.0187010594196223,0.00147397512666974,0,0.0788177339901478
"X3.18.2020",12917,46,223,2062,30,20,1.37204799497603,0.00488613515281393,0.0236871334582067,12648,1,0.0172640706046296,0.00356119842068592,1.5,0.20627802690583
"X3.19.2020",15627,46,346,2710,0,123,1.65990508767442,0.00488613515281393,0.0367522339755135,15235,0,0.0221411659307609,0.00294362321622832,0,0.132947976878613
"X3.20.2020",18588,16,599,2961,-30,253,1.97442348305446,0.00169952527054398,0.0636259773159901,17973,1,0.0322250914568539,0.000860770389498601,-0.118577075098814,0.0267111853088481
"X3.21.2020",21687,278,775,3099,262,176,2.30360028389295,0.0295292515757016,0.0823207552919738,20634,1,0.0357356941946788,0.01281873933693,1.48863636363636,0.358709677419355
"X3.22.2020",24795,2479,940,3108,2201,165,2.63373306769612,0.263320196604907,0.0998471096444586,21376,1,0.0379108691268401,0.0999798346440815,13.3393939393939,2.63723404255319
"X3.23.2020",29661,2479,1173,4866,0,233,3.1506011906003,0.263320196604907,0.124596446396755,26009,0,0.0395468797410741,0.0835777620444355,0,2.11338448422847
"X3.24.2020",33757,3722,1510,4096,1243,337,3.58567965985956,0.395352066060292,0.160392697407588,28525,1,0.0447314631039488,0.110258613028409,3.68842729970326,2.46490066225166
"X3.25.2020",38527,4466,1877,4770,744,367,4.09235063114048,0.474379991140587,0.19937555830069,32184,1,0.0487190801256262,0.115918706361772,2.02724795640327,2.37932871603623
"X3.26.2020",44964,5644,2365,6437,1178,488,4.77609089154621,0.599507539184387,0.251211079052281,36955,1,0.0525976336624855,0.12552264033449,2.41393442622951,2.38646934460888
"X3.27.2020",51247,6613,2851,6283,969,486,5.44347322122294,0.702435038381707,0.302834159145055,41783,1,0.0556325248307218,0.129041700001951,1.99382716049383,2.3195370045598
"X3.28.2020",59239,6835,3331,7992,222,480,6.29238609385966,0.726015951510505,0.353819917261374,49073,1,0.0562298485794831,0.115380070561623,0.4625,2.05193635544881
"X3.29.2020",64804,8880,3842,5565,2045,511,6.88350222702074,0.943236525151907,0.408098505589372,52082,1,0.059286463798531,0.13702857848281,4.00195694716243,2.31129619989589
"X3.30.2020",71293,9795,4439,6489,915,597,7.57276594455573,1.04042812656114,0.471512042246544,57059,1,0.0622641774087218,0.137390767677051,1.53266331658291,2.2065780581212
"X3.31.2020",80875,11554,5313,9582,1759,874,8.59056914095275,1.22726968599157,0.564348610150009,64008,1,0.065693972179289,0.142862442040185,2.01258581235698,2.17466591379635
"X4.1.2020",88173,13537,6090,7298,1983,777,9.36576510497962,1.43790459920961,0.646881806100801,68546,1,0.0690687625463577,0.153527723906411,2.55212355212355,2.22282430213465
"X4.2.2020",93040,15395,7796,4867,1858,1706,9.88273944821322,1.63526197125153,0.828093688072552,69849,1,0.0837919174548581,0.165466466036114,1.08909730363423,1.97473063109287
"X4.3.2020",100908,17786,9201,7868,2391,1405,10.7184810000032,1.88923477886845,0.977333250892195,73921,1,0.091182066833155,0.176259563166449,1.7017793594306,1.93305075535268
"X4.4.2020",129267,19605,10562,28359,1819,1361,13.730783321713,2.08244955806342,1.12189911921784,99100,1,0.0817068548043971,0.151662837383091,1.33651726671565,1.85618254118538
"X4.5.2020",134795,20886,11366,5528,1281,804,14.3179693026859,2.21851780003634,1.20730026406268,102543,1,0.0843206350383916,0.154946400089024,1.59328358208955,1.83758578215731
"X4.6.2020",142148,22207,12495,7353,1321,1129,15.0990073848303,2.35883485518563,1.32722301596544,107446,1,0.0879013422629935,0.156224498410108,1.17006200177148,1.77727090836335
"X4.7.2020",155562,24495,14553,13414,2288,2058,16.5238468835226,2.60186696887342,1.54582445388915,116514,1,0.0935511243105643,0.157461333744745,1.11175898931001,1.68315811172954
"X4.8.2020",161723,26961,15452,6161,2466,899,17.1782703330115,2.86380630119601,1.64131653002784,119310,1,0.0955460880641591,0.166710981122042,2.74304783092325,1.74482267667616
"X4.9.2020",169449,29418,17232,7726,2457,1780,17.9989285980254,3.12478965055392,1.83038871637586,122799,1,0.10169431510366,0.173609758688455,1.38033707865169,1.70717270194986
"X4.10.2020",179761,31626,18835,10312,2208,1603,19.094272634891,3.35932413788899,2.00065990441849,129300,1,0.104778010803233,0.175933600725408,1.37741734248284,1.67910804353597
"X4.11.2020",187279,33516,19939,7518,1890,1104,19.8928370713878,3.56008056047199,2.11792714808602,133824,1,0.106466822227799,0.178962937649176,1.71195652173913,1.68092682682181
"X4.12.2020",193075,34861,20855,5796,1345,916,20.5084901006424,3.7029469035271,2.21522496982466,137359,1,0.108015020069921,0.180556778453969,1.46834061135371,1.67158954687125
"X4.13.2020",199205,35637,21821,6130,776,966,21.1596207199195,3.78537387914848,2.31783380803376,141747,1,0.109540423182149,0.17889611204538,0.803312629399586,1.63315155125796
"X4.14.2020",194119,36897,22959,-5086,1260,1138,20.6193841245454,3.91921149420382,2.4387125429012,134263,1,0.118272812037977,0.190074129786368,1.10720562390158,1.60708218999085
"X4.15.2020",200610,39588,24878,6491,2691,1919,21.3088602827392,4.20505040064343,2.64254935503706,136144,1,0.124011764119436,0.19733811873785,1.40229286086503,1.59128547310877
