"","confirm","recover","death","confirm_daily","recover_daily","death_daily","confirm_RP","recover_RP","death_RP","Exists","ConfDR","DeathR","HealR","RiskD","RiskT"
"X1.22.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.23.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.24.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X1.25.20",1,0,0,1,0,0,2.42065363065451e-05,0,0,1,0,0,0,0,0
"X1.26.20",1,0,0,0,0,0,2.42065363065451e-05,0,0,1,0,0,0,0,0
"X1.27.20",2,0,0,1,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X1.28.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X1.29.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X1.30.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X1.31.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.1.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.2.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.3.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.4.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.5.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.6.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.7.20",2,0,0,0,0,0,4.84130726130901e-05,0,0,2,0,0,0,0,0
"X2.8.20",2,1,0,0,1,0,4.84130726130901e-05,2.42065363065451e-05,0,1,0,0,0.5,1,1
"X2.9.20",2,1,0,0,0,0,4.84130726130901e-05,2.42065363065451e-05,0,1,0,0,0.5,0,1
"X2.10.20",2,1,0,0,0,0,4.84130726130901e-05,2.42065363065451e-05,0,1,0,0,0.5,0,1
"X2.11.20",2,1,0,0,0,0,4.84130726130901e-05,2.42065363065451e-05,0,1,0,0,0.5,0,1
"X2.12.20",2,2,0,0,1,0,4.84130726130901e-05,4.84130726130901e-05,0,0,0,0,1,1,2
